sample,fastq_1,fastq_2
2173510-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2173510-HCV/2173510-HCV_S1_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2173510-HCV/2173510-HCV_S1_L001_R2_001.fastq.gz
2178773-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2178773-HCV/2178773-HCV_S2_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2178773-HCV/2178773-HCV_S2_L001_R2_001.fastq.gz
2185859-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2185859-HCV/2185859-HCV_S3_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2185859-HCV/2185859-HCV_S3_L001_R2_001.fastq.gz
2190609-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2190609-HCV/2190609-HCV_S4_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2190609-HCV/2190609-HCV_S4_L001_R2_001.fastq.gz
2192280-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2192280-HCV/2192280-HCV_S5_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2192280-HCV/2192280-HCV_S5_L001_R2_001.fastq.gz
2192514-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2192514-HCV/2192514-HCV_S15_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2192514-HCV/2192514-HCV_S15_L001_R2_001.fastq.gz
2193795-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2193795-HCV/2193795-HCV_S7_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2193795-HCV/2193795-HCV_S7_L001_R2_001.fastq.gz
2194536-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194536-HCV/2194536-HCV_S8_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194536-HCV/2194536-HCV_S8_L001_R2_001.fastq.gz
2194557-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194557-HCV/2194557-HCV_S19_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194557-HCV/2194557-HCV_S19_L001_R2_001.fastq.gz
2194578-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194578-HCV/2194578-HCV_S9_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2194578-HCV/2194578-HCV_S9_L001_R2_001.fastq.gz
2197190-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2197190-HCV/2197190-HCV_S11_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2197190-HCV/2197190-HCV_S11_L001_R2_001.fastq.gz
2198448-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2198448-HCV/2198448-HCV_S18_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2198448-HCV/2198448-HCV_S18_L001_R2_001.fastq.gz
2199344-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2199344-HCV/2199344-HCV_S12_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2199344-HCV/2199344-HCV_S12_L001_R2_001.fastq.gz
2200918-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2200918-HCV/2200918-HCV_S14_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2200918-HCV/2200918-HCV_S14_L001_R2_001.fastq.gz
2202315-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2202315-HCV/2202315-HCV_S16_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2202315-HCV/2202315-HCV_S16_L001_R2_001.fastq.gz
2202794-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2202794-HCV/2202794-HCV_S20_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2202794-HCV/2202794-HCV_S20_L001_R2_001.fastq.gz
2204675-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204675-HCV/2204675-HCV_S21_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204675-HCV/2204675-HCV_S21_L001_R2_001.fastq.gz
2204696-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204696-HCV/2204696-HCV_S22_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204696-HCV/2204696-HCV_S22_L001_R2_001.fastq.gz
2204794-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204794-HCV/2204794-HCV_S23_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2204794-HCV/2204794-HCV_S23_L001_R2_001.fastq.gz
2210115-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2210115-HCV/2210115-HCV_S13_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2210115-HCV/2210115-HCV_S13_L001_R2_001.fastq.gz
2212315-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2212315-HCV/2212315-HCV_S17_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2212315-HCV/2212315-HCV_S17_L001_R2_001.fastq.gz
2215168-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2215168-HCV/2215168-HCV_S6_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2215168-HCV/2215168-HCV_S6_L001_R2_001.fastq.gz
2215169-HCV,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2215169-HCV/2215169-HCV_S10_L001_R1_001.fastq.gz,/mnt/N/NGS/3-Sekvenseringsbiblioteker/2024/Illumina_Run/NGS_SEQ-20240416-01/NGS_SEQ-20240416-01_HCV//2215169-HCV/2215169-HCV_S10_L001_R2_001.fastq.gz
